text,label,text_clean,final_level
ornamen restauran dan makanan rakyat yang dihidangkan cukup menarik meski harga kurang merakyat dibanding harga di luar daerah cihampelas wali,positive,ornamen restauran dan makanan rakyat yang dihidangkan cukup menarik meski harga kurang merakyat dibanding harga di luar daerah cihampelas wali,1
tidak menyedihkan,positive,tidak menyedihkan,1
"jajanan tradisional hingga orang cina makanan semua ada di sini . nasi campur babi , swike , bola ubi , es campur adalah beberapa makanan favorit saya di sini . hampir setiap bulan saya mengunjungi tempat ini ! suasana malam juga indah namun selalu ramai dan padat pengunjung .",positive,jajanan tradisional hingga orang cina makanan semua ada di sini nasi campur babi swike bola ubi es campur adalah beberapa makanan favorit saya di sini hampir setiap bulan saya mengunjungi tempat ini suasana malam juga indah namun selalu ramai dan padat pengunjung,1
"baik , mohon maaf buat manejemen nya ya . berawal dari jalan-jalan ke bandung dan mampir ke sini . hal pertama adalah penyambutan . iya kami tidak ada yang menyambut sehingga kami kira langsung duduk bisa , ternyata kami salah . ketika akan duduk di kursi yang kami tuju , ada pelayan yang tanya sudah pesan tempat duduk ? lalu saya pun bertanya , di mana ? dia jawab di depan . yowis .",neutral,baik mohon maaf buat manejemen nya ya berawal dari jalanjalan ke bandung dan mampir ke sini hal pertama adalah penyambutan iya kami tidak ada yang menyambut sehingga kami kira langsung duduk bisa ternyata kami salah ketika akan duduk di kursi yang kami tuju ada pelayan yang tanya sudah pesan tempat duduk lalu saya pun bertanya di mana dia jawab di depan yowis,1
"makanan di ciganea enak semua , sambal dan lalapan nya segar , ayam goreng nya meskipun digoreng tidak sampai garing lebih mirip ayam pop di resto padang rasa gurih nya meresap banget , bakwan jagung nya enak , ikan mas kecil goreng nya juga cukup gurih meskipun rasanya agak keasinan buat saya . makanan utama disediakan ala resto padang , ada juga menu pesanan yang harus kita pesan terlebih dahulu . harga nya bersahabat .",positive,makanan di ciganea enak semua sambal dan lalapan nya segar ayam goreng nya meskipun digoreng tidak sampai garing lebih mirip ayam pop di resto padang rasa gurih nya meresap banget bakwan jagung nya enak ikan mas kecil goreng nya juga cukup gurih meskipun rasanya agak keasinan buat saya makanan utama disediakan ala resto padang ada juga menu pesanan yang harus kita pesan terlebih dahulu harga nya bersahabat,1
"pilihan restoran dengan menu-menu makanan indonesia maupun eropa dengan harga yang terjangkau dan porsi yang mengenyangkan . untuk saat-saat tertentu , misal : malam minggu , atau untuk buka puasa , ada baiknya datang lebih awal karena meja yang berbanding terbalik dengan jumlah konsumen yang datang .",positive,pilihan restoran dengan menumenu makanan indonesia maupun eropa dengan harga yang terjangkau dan porsi yang mengenyangkan untuk saatsaat tertentu misal malam minggu atau untuk buka puasa ada baiknya datang lebih awal karena meja yang berbanding terbalik dengan jumlah konsumen yang datang,1
"saya mengunjungi rumah stroberi di bandung pada selasa siang , 02 jun 2015 . akses masuk ke tempat ini cukup mudah sebab disediakan petunjuk jalan ke lokasi ini di jalanan . selain tempat makan juga ada kebun stroberi dan wahana mainan yang sedang dibangun . kebun stroberi hanya dibuka sampai siang . tempat parkir juga luas . rekomendasi untuk bermain di tempat ini .",positive,saya mengunjungi rumah stroberi di bandung pada selasa siang 02 jun 2015 akses masuk ke tempat ini cukup mudah sebab disediakan petunjuk jalan ke lokasi ini di jalanan selain tempat makan juga ada kebun stroberi dan wahana mainan yang sedang dibangun kebun stroberi hanya dibuka sampai siang tempat parkir juga luas rekomendasi untuk bermain di tempat ini,1
"kemarin malam sama topek baru saja menemukan nasi goreng terenak sepanjang hidup ini . nasi goreng balado di depan nya rumah toko - rumah toko samping pom bensin jalan . ngawi caruban , bek makan nya sambil merem2 saking enak nya . bebek goreng nya juga enak , rempah nya berasa banget , mantap !",positive,kemarin malam sama topek baru saja menemukan nasi goreng terenak sepanjang hidup ini nasi goreng balado di depan nya rumah toko rumah toko samping pom bensin jalan ngawi caruban bek makan nya sambil merem2 saking enak nya bebek goreng nya juga enak rempah nya berasa banget mantap,1
wilayah tidak halal cibadak jadi pasti nya ada babi juga . babi saus tiram nya lumayan . andalan nya udang kipas mentega . porsi ramai-ramai bersama teman atau keluarga,positive,wilayah tidak halal cibadak jadi pasti nya ada babi juga babi saus tiram nya lumayan andalan nya udang kipas mentega porsi ramairamai bersama teman atau keluarga,1
steak yang dihidangkan dari sisi ukuran dan kenikmatan berasa langsung ditambah saus steak nya yang kurang kental sesuai dengan harga,positive,steak yang dihidangkan dari sisi ukuran dan kenikmatan berasa langsung ditambah saus steak nya yang kurang kental sesuai dengan harga,1
