text,label
rasanya sangat tertekan menghadapi tekanan kuliah,0
rasanya down menghadapi keadaan asrama,0
saya pikiran tidak berhenti hampir setiap hari karena lingkungan yang tidak nyaman,0
saya benar-benar frustrasi berat dengan beban akademik ini,0
keadaan ini membuat saya pikiran tidak berhenti dan merasa sangat tertekan,0
saya merasa kehilangan harapan karena keadaan asrama,0
akhir-akhir ini saya tidak punya energi dan merasa terpuruk,0
saya merasa kehilangan harapan karena beban akademik,0
saya merasa frustrasi berat sampai sulit untuk berpikir jernih,0
kondisi ini membuat saya hampa dan insomnia setiap malam,0
saya benar-benar down dengan konflik dengan teman ini,0
saya merasa down karena beban akademik,0
saya merasa sangat tertekan karena lingkungan yang tidak nyaman,0
saya mudah menangis tanpa alasan hampir setiap hari karena lingkungan yang tidak nyaman,0
saya tidak bisa menjalani hari karena beban mental yang berat,0
rasanya frustrasi berat menghadapi tugas yang menumpuk,0
saya benar-benar tidak kuat lagi dengan beban akademik ini,0
saya merasa emosional tidak stabil karena konflik dengan teman,0
saya insomnia setiap malam hampir setiap hari karena keadaan asrama,0
rasanya sangat lelah secara mental menghadapi keadaan asrama,0
saya merasa hampa karena tekanan kuliah,0
saya tidak bisa merasakan kebahagiaan karena tekanan yang terus datang,0
setiap hari saya overthinking terus-menerus dan tidak bisa merasakan kebahagiaan,0
saya merasa frustrasi berat karena tugas yang menumpuk,0
setiap hari saya overthinking terus-menerus dan tidak bisa merasakan kebahagiaan,0
saya merasa frustrasi berat dan tidak mampu menghadapi keadaan asrama,0
saya tidak bisa menjalani aktivitas karena kondisi yang semakin memburuk,0
saya merasa down sampai sulit untuk menjalani hari,0
saya merasa sangat lelah secara mental sampai sulit untuk mengontrol pikiran,0
saya insomnia setiap malam hampir setiap hari karena konflik dengan teman,0
setiap hari saya overthinking terus-menerus dan tidak bisa menjalani hari,0
setiap hari saya kehilangan motivasi total dan tidak bisa fokus belajar,0
saya merasa tidak kuat lagi sampai sulit untuk tidur dengan tenang,0
pikiran saya kondisi yang semakin memburuk dan saya tidak punya energi,0
saya sering merasa gelisah hampir setiap hari karena kehidupan sehari-hari,0
kondisi ini membuat saya sangat tertekan dan tidak punya energi,0
saya tidak bisa menjalani aktivitas karena pikiran yang sangat kacau,0
saya merasa hampa dan tidak mampu menghadapi konflik dengan teman,0
