tanggal,teks_jurnal
2026-04-01,Hari ini hari pertama masuk belum ada tugas. Dosen pengantar aja.
2026-04-02,Mulai perkenalan silabus. Sepertinya semester ini lumayan padat.
2026-04-03,Ngumpul sama teman-teman kelompok bagi-bagi tugas awal.
2026-04-04,Masih aman nyicil baca materi sedikit-sedikit.
2026-04-05,Nonton film seharian karena kebetulan kelas kosong.
2026-04-06,Main futsal bareng anak angkatan seru banget hari ini.
2026-04-07,Istirahat total di kos nyiapin tenaga buat minggu depan.
2026-04-08,Dosen PBO ngasih tugas mendadak lumayan susah logikanya.
2026-04-09,Kodingan error terus dari semalam pusing banget nyari bug-nya.
2026-04-10,Akhirnya tugas selesai juga walaupun begadang sampai jam 3 pagi.
2026-04-11,Ngantuk berat di kelas karena semalam kurang tidur.
2026-04-12,Kuis dadakan hari ini untung semalam sempat baca materi.
2026-04-13,Tugas Jaringan Komputer disuruh bikin simulasi laptop agak nge-lag.
2026-04-14,Akhir pekan tetep nugas di perpus bareng kelompok.
